,year,country,age,species_,month,dead,gender,specie,edad
0,2018,usa,57,White shark,Jun,N,F,white,57.0
1,2018,brazil,18,Tiger shark,Jun,Y,M,tiger,18.0
2,2018,usa,15,"Bull shark, 6'",May,N,M,bull,15.0
3,2018,australia,32,Grey reef shark,May,N,M,grey,32.0
4,2018,england,21,Invalid incident,May,N,M,unspecified,21.0
5,2018,costa rica,30,Tiger shark,Apr,N,M,tiger,30.0
6,2018,australia,60,3 m shark,Apr,N,M,unspecified,60.0
7,2018,maldives,32,Tiger shark,Apr,N,M,tiger,32.0
8,2018,south africa,33,"White shark, 2.5 m",Apr,N,M,white,33.0
9,2018,south africa,19,White shark,Apr,N,M,white,19.0
10,2018,usa,25,"Tiger shark, 12'",Mar,N,M,tiger,25.0
11,2018,australia,10,Wobbegong shark,Mar,N,M,unspecified,10.0
12,2018,australia,69,3.5 m shark,Mar,N,M,unspecified,69.0
13,2018,australia,18,1.8 m shark,Mar,N,M,unspecified,18.0
14,2018,australia,55,"Juvenile white shark,  2.7 to 3.2 m",Feb,N,F,white,55.0
15,2018,australia,35,"Bull shark, 2 m",Feb,N,M,bull,35.0
16,2018,brazil,20,small shark,Jan,N,M,unspecified,20.0
17,2017,usa,54,Tiger shark,Dec,N,F,tiger,54.0
18,2017,usa,25,"White shark, 4.6 m",Nov,N,M,white,25.0
19,2017,australia,25,2 m shark,Nov,N,M,unspecified,25.0
20,2017,cuba,22,Tiger shark,Nov,Y,M,tiger,22.0
21,2017,australia,31,"Wobbegong shark, 1 m",Oct,N,M,unspecified,31.0
22,2017,australia,15,"White shark, 4.5 m",Oct,N,F,white,15.0
23,2017,usa,54,"Tiger shark, 8 to 10 feet",Oct,N,M,tiger,54.0
24,2017,usa,40,8' shark,Oct,N,F,unspecified,40.0
25,2017,usa,33,Questionable,Sep,,M,unspecified,33.0
26,2017,usa,18,5' to 6' shark,Sep,N,M,unspecified,18.0
27,2017,australia,35,"White shark, 3 to 3.5m ",Sep,N,M,white,35.0
28,2017,australia,37,"White shark, 3 m",Aug,N,M,white,37.0
29,2017,spain,11,Shark involvement questionable,Aug,,F,unspecified,11.0
30,2017,usa,69,"White shark, 5' to 7'",Aug,N,M,white,69.0
31,2017,usa,13,Possibly a juvenile blacktip shark,Aug,N,M,unspecified,13.0
32,2017,usa,34,4' shark,Aug,N,M,unspecified,34.0
33,2017,usa,10,A small shark,Jul,,M,unspecified,10.0
34,2017,usa,40,"White shark, 11' to 13'",Jul,N,M,white,40.0
35,2017,usa,50,"White shark, 8' to 10'",Jul,N,M,white,50.0
36,2017,usa,46,"Bull shark, 4' to 5'",Jul,N,M,bull,46.0
37,2017,south africa,13,"White shark, 2.5 m",Jul,N,F,white,13.0
38,2017,australia,48,"White shark, 4 m",Jun,N,M,white,48.0
39,2017,bahamas,32,Tiger shark,Jun,N,F,tiger,32.0
40,2017,usa,18,Shark involvement highly doubtful,May,,F,unspecified,18.0
