,year,type,country,age,species_,month,gender,dead
0,2018.0,Boating,usa,57,White shark,Jun,F,N
1,2018.0,Unprovoked,brazil,18,Tiger shark,Jun,M,Y
2,2018.0,Unprovoked,usa,15,"Bull shark, 6'",May,M,N
3,2018.0,Provoked,australia,32,Grey reef shark,May,M,N
4,2018.0,Invalid,england,21,Invalid incident,May,M,N
5,2018.0,Unprovoked,costa rica,30,Tiger shark,Apr,M,N
6,2018.0,Unprovoked,australia,60,3 m shark,Apr,M,N
7,2018.0,Unprovoked,maldives,32,Tiger shark,Apr,M,N
8,2018.0,Unprovoked,south africa,33,"White shark, 2.5 m",Apr,M,N
9,2018.0,Unprovoked,south africa,19,White shark,Apr,M,N
10,2018.0,Unprovoked,usa,25,"Tiger shark, 12'",Mar,M,N
11,2018.0,Unprovoked,australia,10,Wobbegong shark,Mar,M,N
12,2018.0,Unprovoked,australia,69,3.5 m shark,Mar,M,N
13,2018.0,Unprovoked,australia,18,1.8 m shark,Mar,M,N
14,2018.0,Unprovoked,australia,55,"Juvenile white shark,  2.7 to 3.2 m",Feb,F,N
15,2018.0,Unprovoked,australia,35,"Bull shark, 2 m",Feb,M,N
16,2018.0,Unprovoked,brazil,20,small shark,Jan,M,N
17,2017.0,Unprovoked,usa,54,Tiger shark,Dec,F,N
18,2017.0,Unprovoked,usa,25,"White shark, 4.6 m",Nov,M,N
19,2017.0,Unprovoked,australia,25,2 m shark,Nov,M,N
20,2017.0,Unprovoked,cuba,22,Tiger shark,Nov,M,Y
21,2017.0,Unprovoked,australia,31,"Wobbegong shark, 1 m",Oct,M,N
22,2017.0,Unprovoked,australia,15,"White shark, 4.5 m",Oct,F,N
23,2017.0,Unprovoked,usa,54,"Tiger shark, 8 to 10 feet",Oct,M,N
24,2017.0,Unprovoked,usa,40,8' shark,Oct,F,N
25,2017.0,Invalid,usa,33,Questionable,Sep,M,
26,2017.0,Unprovoked,usa,18,5' to 6' shark,Sep,M,N
27,2017.0,Unprovoked,australia,35,"White shark, 3 to 3.5m ",Sep,M,N
28,2017.0,Unprovoked,australia,37,"White shark, 3 m",Aug,M,N
29,2017.0,Invalid,spain,11,Shark involvement questionable,Aug,F,
30,2017.0,Unprovoked,usa,69,"White shark, 5' to 7'",Aug,M,N
31,2017.0,Unprovoked,usa,13,Possibly a juvenile blacktip shark,Aug,M,N
32,2017.0,Provoked,usa,34,4' shark,Aug,M,N
33,2017.0,Invalid,usa,10,A small shark,Jul,M,
34,2017.0,Boating,usa,40,"White shark, 11' to 13'",Jul,M,N
35,2017.0,Unprovoked,usa,50,"White shark, 8' to 10'",Jul,M,N
36,2017.0,Unprovoked,usa,46,"Bull shark, 4' to 5'",Jul,M,N
37,2017.0,Unprovoked,south africa,13,"White shark, 2.5 m",Jul,F,N
38,2017.0,Unprovoked,australia,48,"White shark, 4 m",Jun,M,N
39,2017.0,Unprovoked,bahamas,32,Tiger shark,Jun,F,N
40,2017.0,Invalid,usa,18,Shark involvement highly doubtful,May,F,
41,2017.0,Unprovoked,australia,17,White shark,Apr,F,Y
42,2017.0,Unprovoked,usa,28,"Tiger shark, 12'",Apr,M,N
43,2017.0,Unprovoked,usa,17,"Bull shark, 5' to 7'",Apr,F,N
44,2017.0,Unprovoked,australia,55,"Bull shark, 4 m",Jan,M,N
45,2017.0,Unprovoked,indonesia,48,"Bull shark, 1 m",Jan,M,N
46,2017.0,Invalid,australia,20,Shark involvement not confirmed,Jan,M,
47,2016.0,Unprovoked,south africa,55,"White shark, 4 m",Dec,M,N
48,2016.0,Invalid,usa,19,Shark involvement not confirmed,Dec,M,
49,2016.0,Provoked,australia,20,"Wobbegong shark, 2m",Dec,M,N
50,2016.0,Unprovoked,australia,65,White shark,Dec,M,N
51,2016.0,Provoked,australia,73,"Broadnose sevengill shark, 1.5 m",Nov,M,N
52,2016.0,Unprovoked,usa,58,Tiger shark,Nov,F,N
53,2016.0,Unprovoked,usa,36, 6' to 8' shark,Oct,M,N
54,2016.0,Unprovoked,australia,17,"White shark, 3.5 m",Sep,M,N
55,2016.0,Unprovoked,usa,60s,3' to 4' shark,Sep,M,N
56,2016.0,Unprovoked,usa,51,"Tiger shark, 10'",Sep,F,N
57,2016.0,Unprovoked,usa,25,"Bull shark, 6'",Aug,M,N
58,2016.0,Unprovoked,usa,21,"Tiger shark, 10' ",Aug,M,N
59,2016.0,Unprovoked,spain,40,Blue shark,Jul,M,N
60,2016.0,Provoked,australia,31,"reef shark, 1m",Jul,M,N
61,2016.0,Unprovoked,usa,61,"White shark, 10' to 12'",Jul,M,N
62,2016.0,Provoked,usa,59,dogfish shark,Jul,M,N
63,2016.0,Provoked,australia,34,Tawny nurse shark,Jul,M,N
64,2016.0,Unprovoked,usa,42,3' to 5' shark,Jun,M,N
65,2016.0,Unprovoked,usa,6,3' to 4' shark,Jun,F,N
66,2016.0,Unprovoked,usa,19,3' shark,Jun,M,N
67,2016.0,Invalid,usa,27,Said to involve an 8' shark but more likely damage caused by debris,Jun,M,
68,2016.0,Unprovoked,australia,60,3+ m shark,Jun,F,Y
69,2016.0,Unprovoked,egypt,23,Mako shark,Jun,M,N
70,2016.0,Unprovoked,australia,29,White shark,May,M,Y
71,2016.0,Unprovoked,usa,13,5' shark,May,M,N
72,2016.0,Unprovoked,usa,22,"Bull shark, 4' to 5'",May,F,N
73,2016.0,Unprovoked,usa,48,"Blacktip shark, 4'",May,M,N
74,2016.0,Provoked,usa,23,"Nurse shark, 2'",May,F,N
75,2016.0,Provoked,new zealand,39,"Mako shark, 1.5 m [5'] ",May,M,N
76,2016.0,Unprovoked,indonesia,24,"Bull shark, 6'",Apr,M,N
77,2016.0,Unprovoked,australia,12,Wobbegong shark,Apr,M,N
78,2016.0,Provoked,french polynesia,22,"Grey reef shark, 2 m",Apr,M,
79,2016.0,Provoked,french polynesia,26,"Grey reef shark, 2 m",Apr,M,N
80,2016.0,Unprovoked,new caledonia,69,"Tiger shark, 2.5 m",Apr,F,Y
81,2016.0,Unprovoked,usa,48,"Tiger shark, 14'",Jan,M,N
82,2016.0,Unprovoked,australia,11,Blacktip shark,Jan,M,N
83,2016.0,Unprovoked,australia,31,3 m shark,Jan,M,N
84,2015.0,Unprovoked,usa,71,9' shark,Dec,M,N
85,2015.0,Unprovoked,australia,43,"Bronze whaler shark, 6'",Dec,M,N
86,2015.0,Unprovoked,ecuador,55,Galapagos shark,Nov,M,N
87,2015.0,Unprovoked,australia,20,"Bull shark, 2.8 to 3.1 m",Nov,M,N
88,2015.0,Invalid,usa,9,Shark involvement not confirmed,Nov,F,
89,2015.0,Unprovoked,usa,28,3' to 5' shark,Nov,F,N
90,2015.0,Unprovoked,south africa,42,"White shark, 3 to 3.5m ",Oct,M,N
91,2015.0,Unprovoked,usa,21,5' shark,Oct,M,N
92,2015.0,Unprovoked,usa,21,"Spinner shark, 5'",Oct,M,N
93,2015.0,Invalid,usa,32,No shark involvement,Oct,M,
94,2015.0,Unprovoked,usa,44,"Tiger shark, 7'",Oct,M,N
95,2015.0,Unprovoked,usa,25,"Tiger shark, 13' ",Oct,M,N
96,2015.0,Unprovoked,usa,13,4' to 5' shark,Oct,M,N
