,index,year,country,age,species_,month,dead,gender,specie,edad,edad_media,gender_moda,age_moda
0,0,2018.0,usa,57,White shark,Jun,N,F,white,57.0,57.0,F,57
1,1,2018.0,brazil,18,Tiger shark,Jun,Y,M,tiger,18.0,18.0,M,18
2,2,2018.0,usa,15,"Bull shark, 6'",May,N,M,bull,15.0,15.0,M,15
3,3,2018.0,australia,32,Grey reef shark,May,N,M,grey,32.0,32.0,M,32
4,4,2018.0,england,21,Invalid incident,May,N,M,unspecified,21.0,21.0,M,21
5,5,2018.0,costa rica,30,Tiger shark,Apr,N,M,tiger,30.0,30.0,M,30
6,6,2018.0,australia,60,3 m shark,Apr,N,M,unspecified,60.0,60.0,M,60
7,7,2018.0,maldives,32,Tiger shark,Apr,N,M,tiger,32.0,32.0,M,32
8,8,2018.0,south africa,33,"White shark, 2.5 m",Apr,N,M,white,33.0,33.0,M,33
9,9,2018.0,south africa,19,White shark,Apr,N,M,white,19.0,19.0,M,19
10,10,2018.0,usa,25,"Tiger shark, 12'",Mar,N,M,tiger,25.0,25.0,M,25
11,11,2018.0,australia,10,Wobbegong shark,Mar,N,M,unspecified,10.0,10.0,M,10
12,12,1998.0,australia,69,3.5 m shark,Mar,N,M,unspecified,27.973926380368106,27.9739263803681,M,69
13,13,2018.0,australia,18,1.8 m shark,Mar,N,M,unspecified,18.0,18.0,M,18
14,14,2018.0,australia,55,"Juvenile white shark,  2.7 to 3.2 m",Feb,N,F,white,55.0,55.0,F,55
15,15,2018.0,australia,35,"Bull shark, 2 m",Feb,N,M,bull,35.0,35.0,M,35
16,16,2018.0,brazil,20,small shark,Jan,N,M,unspecified,20.0,20.0,M,20
17,17,2017.0,usa,54,Tiger shark,Dec,N,F,tiger,54.0,54.0,F,54
18,18,2017.0,usa,25,"White shark, 4.6 m",Nov,N,M,white,25.0,25.0,M,25
19,19,2017.0,australia,25,2 m shark,Nov,N,M,unspecified,25.0,25.0,M,25
20,20,2017.0,cuba,22,Tiger shark,Nov,Y,M,tiger,22.0,22.0,M,22
21,21,2017.0,australia,31,"Wobbegong shark, 1 m",Oct,N,M,unspecified,31.0,31.0,M,31
22,22,2017.0,australia,15,"White shark, 4.5 m",Oct,N,F,white,15.0,15.0,F,15
23,23,2017.0,usa,54,"Tiger shark, 8 to 10 feet",Oct,N,M,tiger,54.0,54.0,M,54
24,24,2017.0,usa,40,8' shark,Oct,N,F,unspecified,40.0,40.0,F,40
25,25,2017.0,usa,33,Questionable,Sep,,M,unspecified,33.0,33.0,M,33
26,26,2017.0,usa,18,5' to 6' shark,Sep,N,M,unspecified,18.0,18.0,M,18
27,27,2017.0,australia,35,"White shark, 3 to 3.5m ",Sep,N,M,white,35.0,35.0,M,35
28,28,2017.0,australia,37,"White shark, 3 m",Aug,N,M,white,37.0,37.0,M,37
29,29,2017.0,spain,11,Shark involvement questionable,Aug,,F,unspecified,11.0,11.0,F,11
30,30,1998.0,usa,69,"White shark, 5' to 7'",Aug,N,M,white,27.973926380368106,27.9739263803681,M,69
31,31,2017.0,usa,13,Possibly a juvenile blacktip shark,Aug,N,M,unspecified,13.0,13.0,M,13
32,32,2017.0,usa,34,4' shark,Aug,N,M,unspecified,34.0,34.0,M,34
33,33,2017.0,usa,10,A small shark,Jul,,M,unspecified,10.0,10.0,M,10
34,34,2017.0,usa,40,"White shark, 11' to 13'",Jul,N,M,white,40.0,40.0,M,40
35,35,2017.0,usa,50,"White shark, 8' to 10'",Jul,N,M,white,50.0,50.0,M,50
36,36,2017.0,usa,46,"Bull shark, 4' to 5'",Jul,N,M,bull,46.0,46.0,M,46
37,37,2017.0,south africa,13,"White shark, 2.5 m",Jul,N,F,white,13.0,13.0,F,13
38,38,2017.0,australia,48,"White shark, 4 m",Jun,N,M,white,48.0,48.0,M,48
39,39,2017.0,bahamas,32,Tiger shark,Jun,N,F,tiger,32.0,32.0,F,32
40,40,2017.0,usa,18,Shark involvement highly doubtful,May,,F,unspecified,18.0,18.0,F,18
41,41,2017.0,australia,17,White shark,Apr,Y,F,white,17.0,17.0,F,17
42,42,2017.0,usa,28,"Tiger shark, 12'",Apr,N,M,tiger,28.0,28.0,M,28
43,43,2017.0,usa,17,"Bull shark, 5' to 7'",Apr,N,F,bull,17.0,17.0,F,17
44,44,2017.0,australia,55,"Bull shark, 4 m",Jan,N,M,bull,55.0,55.0,M,55
45,45,2017.0,indonesia,48,"Bull shark, 1 m",Jan,N,M,bull,48.0,48.0,M,48
46,46,2017.0,australia,20,Shark involvement not confirmed,Jan,,M,unspecified,20.0,20.0,M,20
47,47,2016.0,south africa,55,"White shark, 4 m",Dec,N,M,white,55.0,55.0,M,55
48,48,2016.0,usa,19,Shark involvement not confirmed,Dec,,M,unspecified,19.0,19.0,M,19
49,49,2016.0,australia,20,"Wobbegong shark, 2m",Dec,N,M,unspecified,20.0,20.0,M,20
50,50,2016.0,australia,65,White shark,Dec,N,M,white,65.0,65.0,M,65
51,51,1998.0,australia,73,"Broadnose sevengill shark, 1.5 m",Nov,N,M,unspecified,27.973926380368106,27.9739263803681,M,73
52,52,2016.0,usa,58,Tiger shark,Nov,N,F,tiger,58.0,58.0,F,58
53,53,2016.0,usa,36, 6' to 8' shark,Oct,N,M,unspecified,36.0,36.0,M,36
54,54,2016.0,australia,17,"White shark, 3.5 m",Sep,N,M,white,17.0,17.0,M,17
55,55,2016.0,usa,60s,3' to 4' shark,Sep,N,M,unspecified,60.0,60.0,M,60s
56,56,2016.0,usa,51,"Tiger shark, 10'",Sep,N,F,tiger,51.0,51.0,F,51
57,57,2016.0,usa,25,"Bull shark, 6'",Aug,N,M,bull,25.0,25.0,M,25
58,58,2016.0,usa,21,"Tiger shark, 10' ",Aug,N,M,tiger,21.0,21.0,M,21
59,59,2016.0,spain,40,Blue shark,Jul,N,M,unspecified,40.0,40.0,M,40
60,60,2016.0,australia,31,"reef shark, 1m",Jul,N,M,unspecified,31.0,31.0,M,31
61,61,2016.0,usa,61,"White shark, 10' to 12'",Jul,N,M,white,61.0,61.0,M,61
62,62,2016.0,usa,59,dogfish shark,Jul,N,M,unspecified,59.0,59.0,M,59
63,63,2016.0,australia,34,Tawny nurse shark,Jul,N,M,unspecified,34.0,34.0,M,34
64,64,2016.0,usa,42,3' to 5' shark,Jun,N,M,unspecified,42.0,42.0,M,42
65,65,2016.0,usa,6,3' to 4' shark,Jun,N,F,unspecified,6.0,6.0,F,6
66,66,2016.0,usa,19,3' shark,Jun,N,M,unspecified,19.0,19.0,M,19
67,67,2016.0,usa,27,Said to involve an 8' shark but more likely damage caused by debris,Jun,,M,unspecified,27.0,27.0,M,27
68,68,2016.0,australia,60,3+ m shark,Jun,Y,F,unspecified,60.0,60.0,F,60
69,69,2016.0,egypt,23,Mako shark,Jun,N,M,unspecified,23.0,23.0,M,23
70,70,2016.0,australia,29,White shark,May,Y,M,white,29.0,29.0,M,29
71,71,2016.0,usa,13,5' shark,May,N,M,unspecified,13.0,13.0,M,13
72,72,2016.0,usa,22,"Bull shark, 4' to 5'",May,N,F,bull,22.0,22.0,F,22
73,73,2016.0,usa,48,"Blacktip shark, 4'",May,N,M,unspecified,48.0,48.0,M,48
74,74,2016.0,usa,23,"Nurse shark, 2'",May,N,F,unspecified,23.0,23.0,F,23
75,75,2016.0,new zealand,39,"Mako shark, 1.5 m [5'] ",May,N,M,unspecified,39.0,39.0,M,39
76,76,2016.0,indonesia,24,"Bull shark, 6'",Apr,N,M,bull,24.0,24.0,M,24
77,77,2016.0,australia,12,Wobbegong shark,Apr,N,M,unspecified,12.0,12.0,M,12
78,78,2016.0,french polynesia,22,"Grey reef shark, 2 m",Apr,,M,grey,22.0,22.0,M,22
79,79,2016.0,french polynesia,26,"Grey reef shark, 2 m",Apr,N,M,grey,26.0,26.0,M,26
80,80,1998.0,new caledonia,69,"Tiger shark, 2.5 m",Apr,Y,F,tiger,27.973926380368106,27.9739263803681,F,69
81,81,2016.0,usa,48,"Tiger shark, 14'",Jan,N,M,tiger,48.0,48.0,M,48
82,82,2016.0,australia,11,Blacktip shark,Jan,N,M,unspecified,11.0,11.0,M,11
83,83,2016.0,australia,31,3 m shark,Jan,N,M,unspecified,31.0,31.0,M,31
84,84,1998.0,usa,71,9' shark,Dec,N,M,unspecified,27.973926380368106,27.9739263803681,M,71
85,85,2015.0,australia,43,"Bronze whaler shark, 6'",Dec,N,M,unspecified,43.0,43.0,M,43
86,86,2015.0,ecuador,55,Galapagos shark,Nov,N,M,unspecified,55.0,55.0,M,55
87,87,2015.0,australia,20,"Bull shark, 2.8 to 3.1 m",Nov,N,M,bull,20.0,20.0,M,20
88,88,2015.0,usa,9,Shark involvement not confirmed,Nov,,F,unspecified,9.0,9.0,F,9
89,89,2015.0,usa,28,3' to 5' shark,Nov,N,F,unspecified,28.0,28.0,F,28
90,90,2015.0,south africa,42,"White shark, 3 to 3.5m ",Oct,N,M,white,42.0,42.0,M,42
91,91,2015.0,usa,21,5' shark,Oct,N,M,unspecified,21.0,21.0,M,21
92,92,2015.0,usa,21,"Spinner shark, 5'",Oct,N,M,unspecified,21.0,21.0,M,21
93,93,2015.0,usa,32,No shark involvement,Oct,,M,unspecified,32.0,32.0,M,32
94,94,2015.0,usa,44,"Tiger shark, 7'",Oct,N,M,tiger,44.0,44.0,M,44
95,95,2015.0,usa,25,"Tiger shark, 13' ",Oct,N,M,tiger,25.0,25.0,M,25
96,96,2015.0,usa,13,4' to 5' shark,Oct,N,M,unspecified,13.0,13.0,M,13
97,97,2015.0,usa,14,"Blacktip shark, 4' to 5'",Oct,N,M,unspecified,14.0,14.0,M,14
98,98,2015.0,usa,22,"Blacktip shark, 5' to 6'",Sep,N,M,unspecified,22.0,22.0,M,22
99,99,2015.0,usa,14,juvenile shark,Sep,N,M,unspecified,14.0,14.0,M,14
100,100,2015.0,usa,27,"Tiger shark, 13'",Sep,N,M,tiger,27.0,27.0,M,27
